상가업소번호,상호명,지점명,상권업종대분류명,지번주소,도로명주소,경도,위도,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
MA0106202508A2203234,라카코스메틱스,,소매,서울특별시 성동구 성수동2가 309-143,서울특별시 성동구 성수이로7가길 7,127.05472,37.54091878,11040670,성수2가1동,11040,성동구
MA0106202508A0982694,프롬더스트릿 저스트펀 크루 아지트 with 오버맥스짐,,예술·스포츠,서울특별시 성동구 행당동 317-31,서울특별시 성동구 행당로17길 7,127.0334217,37.55906382,11040560,행당1동,11040,성동구
MA0106202506A0005539,안전몰,코리아,소매,서울특별시 성동구 하왕십리동 301-6,서울특별시 성동구 청계천로 462,127.0280498,37.56992223,11040710,왕십리도선동,11040,성동구
MA0106202506A1938195,성수래미안슈퍼,,소매,서울특별시 성동구 성수동2가 269-248,서울특별시 성동구 뚝섬로17길 20,127.0602293,37.53940241,11040670,성수2가1동,11040,성동구
MA0106202506A1604138,초선마라 왕십리점,,음식,서울특별시 성동구 행당동 37-27,서울특별시 성동구 살곶이8길 2,127.0409924,37.55724142,11040550,사근동,11040,성동구
MA0106202506A2388826,하파크리스틴 올리브영N 성수점,,소매,서울특별시 성동구 성수동2가 314-11,서울특별시 성동구 연무장7길 13,127.0544848,37.54417149,11040680,성수2가3동,11040,성동구
MA0106202506A1685329,애프터 요가/필라테스 서울숲점,,교육,서울특별시 성동구 성수동1가 656-335,서울특별시 성동구 왕십리로 50,127.0449783,37.54189597,11040650,성수1가1동,11040,성동구
MA0106202506A0811286,실비옥,,음식,서울특별시 성동구 성수동2가 273-52,서울특별시 성동구 아차산로 126,127.05806,37.54350305,11040680,성수2가3동,11040,성동구
MA0106202508A1707064,롯데리아 금호점,,음식,서울특별시 성동구 금호동3가 1300,서울특별시 성동구 장터길 23,127.0184003,37.54854346,11040720,금호2·3가동,11040,성동구
MA0106202506A1342262,(주)한우청 용답지점,,소매,서울특별시 성동구 용답동 14-20,서울특별시 성동구 용답중앙15길 2,127.0530956,37.56380487,11040700,용답동,11040,성동구
MA0106202508A0535000,유니프린,,소매,서울특별시 성동구 성수동2가 278-51,서울특별시 성동구 아차산로11길 27,127.0597708,37.54617816,11040680,성수2가3동,11040,성동구
MA0106202508A1294835,입소문(lipsomoon),,음식,서울특별시 성동구 성수동1가 656-1053,서울특별시 성동구 왕십리로4가길 2-9,127.0458064,37.54528341,11040650,성수1가1동,11040,성동구
MA0106202508A0445255,한양떡방앗간,,음식,서울특별시 성동구 성수동1가 656-816,서울특별시 성동구 왕십리로4가길 3,127.0459989,37.54553561,11040650,성수1가1동,11040,성동구
MA0106202508A1493340,이사벨스킨케어,,수리·개인,서울특별시 성동구 응봉동 100,서울특별시 성동구 독서당로 434,127.0340531,37.55385588,11040580,응봉동,11040,성동구
MA0106202508A2117594,운정식당,,음식,서울특별시 성동구 마장동 465-24,서울특별시 성동구 청계천로12가길 43,127.0358608,37.57102834,11040540,마장동,11040,성동구
MA0106202506A1287797,호야네족발,,음식,서울특별시 성동구 하왕십리동 966-37,서울특별시 성동구 무학봉26길 9,127.0328344,37.56176698,11040520,왕십리2동,11040,성동구
MA0106202506A2230395,더타코부스 성수점,,음식,서울특별시 성동구 성수동2가 315-36,서울특별시 성동구 연무장7가길 5-1,127.0550837,37.54315309,11040680,성수2가3동,11040,성동구
MA0106202508A1105006,장모님 한식뷔페,,음식,서울특별시 성동구 용답동 238-1,서울특별시 성동구 자동차시장1길 96,127.0683947,37.55987766,11040700,용답동,11040,성동구
MA0106202508A2236944,로즐린,,소매,서울특별시 성동구 성수동2가 289-257,서울특별시 성동구 성수일로8길 55,127.0566921,37.54523363,11040680,성수2가3동,11040,성동구
MA0106202506A0971976,아세누(Aceno),,음식,서울특별시 성동구 성수동2가 299-49,서울특별시 성동구 광나루로2길 25,127.0544203,37.54884771,11040680,성수2가3동,11040,성동구
MA0101202505A0051635,스시스토리,,음식,서울특별시 성동구 성수동1가 276-27,서울특별시 성동구 뚝섬로 358,127.0504648,37.5398665,11040650,성수1가1동,11040,성동구
MA0106202508A1114359,롤리포니,,소매,서울특별시 성동구 성수동1가 685-501,서울특별시 성동구 서울숲2길 11,127.0400251,37.54738484,11040660,성수1가2동,11040,성동구
MA0106202508A0508202,계화통(한양대점),,음식,서울특별시 성동구 행당동 19-9,서울특별시 성동구 마조로 21,127.0408241,37.55990843,11040550,사근동,11040,성동구
MA0106202508A2358283,치리미리(Txirimiri),,음식,서울특별시 성동구 성수동1가 13-330,서울특별시 성동구 상원6가길 3,127.0488863,37.54839062,11040660,성수1가2동,11040,성동구
MA0106202508A0123717,더블와이짐 행당점,,예술·스포츠,서울특별시 성동구 행당동 346,서울특별시 성동구 행당로 84,127.0287465,37.55656929,11040570,행당2동,11040,성동구
MA0106202506A1336827,케슬리,,음식,서울특별시 성동구 성수동1가 13-132,서울특별시 성동구 상원6길 3,127.0486148,37.54852588,11040660,성수1가2동,11040,성동구
MA0106202506A2428536,어뮤즈,성수점,소매,서울특별시 성동구 성수동1가 16-32,서울특별시 성동구 연무장길 10-2,127.050524,37.54381285,11040650,성수1가1동,11040,성동구
MA0106202506A0146025,내추럴라이프스타일,,소매,서울특별시 성동구 송정동 66-230,서울특별시 성동구 송정길 50,127.0650245,37.54978839,11040690,송정동,11040,성동구
MA0106202508A0979506,쎈수학러닝센터마장수학교습소,,교육,서울특별시 성동구 마장동 766-25,서울특별시 성동구 마장로39길 51,127.0443722,37.56934959,11040540,마장동,11040,성동구
MA0106202508A1582139,리스트 피아노 교습소,,교육,서울특별시 성동구 옥수동 436,서울특별시 성동구 독서당로 173,127.0109079,37.54156165,11040730,옥수동,11040,성동구
MA0106202508A0409874,아트PC방,,예술·스포츠,서울특별시 성동구 행당동 19-100,서울특별시 성동구 마조로 9,127.0405631,37.55870119,11040550,사근동,11040,성동구
MA0106202508A2160661,옷산,,소매,서울특별시 성동구 성수동2가 299-49,서울특별시 성동구 광나루로2길 25,127.0544203,37.54884771,11040680,성수2가3동,11040,성동구
MA0106202506A2348394,싸다김밥 장한평역점,,음식,서울특별시 성동구 용답동 229-1,서울특별시 성동구 천호대로 380-7,127.0611979,37.56158449,11040700,용답동,11040,성동구
MA0106202508A1618164,신수학,,교육,서울특별시 성동구 행당동 117-42,서울특별시 성동구 고산자로6길 24-3,127.0352657,37.55732436,11040560,행당1동,11040,성동구
MA0106202508A0403384,성동FC성,수지점,교육,서울특별시 성동구 성수동1가 706,서울특별시 성동구 상원길 59,127.047891,37.54930103,11040660,성수1가2동,11040,성동구
MA0106202508A0803935,바 구(bar gu),,음식,서울특별시 성동구 성수동2가 269-118,서울특별시 성동구 뚝섬로 427-15,127.0577732,37.53842155,11040670,성수2가1동,11040,성동구
MA0106202508A1024678,후쿠쵸라멘 본점,,음식,서울특별시 성동구 홍익동 398,서울특별시 성동구 무학로 16-2,127.0303346,37.56568698,11040710,왕십리도선동,11040,성동구
MA0106202508A0531366,씨유성수W,타워점,소매,서울특별시 성동구 성수동2가 277-28,서울특별시 성동구 아차산로15길 19,127.0620667,37.54474439,11040680,성수2가3동,11040,성동구
MA0106202506A0534324,에어브이인터내셔날,,소매,서울특별시 성동구 마장동 797-1,서울특별시 성동구 마조로15가길 27,127.0409513,37.56492694,11040540,마장동,11040,성동구
MA0106202508A0579796,티티크,,소매,서울특별시 성동구 성수동2가 517-6,서울특별시 성동구 성수이로3길 10-1,127.0531442,37.53668479,11040670,성수2가1동,11040,성동구
MA0106202508A2135255,무로,,수리·개인,서울특별시 성동구 성수동1가 14-46,서울특별시 성동구 상원2길 1,127.0492582,37.54604787,11040660,성수1가2동,11040,성동구
MA0106202508A2212613,123앙드트와,,소매,서울특별시 성동구 성수동1가 656-1767,서울특별시 성동구 왕십리로14길 9,127.0451525,37.54935617,11040660,성수1가2동,11040,성동구
MA0106202508A1378522,홍객,,음식,서울특별시 성동구 하왕십리동 1066,서울특별시 성동구 무학로 33,127.0263742,37.5690937,11040710,왕십리도선동,11040,성동구
MA0106202510A2406867,블레숑,,소매,서울특별시 성동구 송정동 73-604,서울특별시 성동구 송정14길 18,127.0681828,37.55091286,11040690,송정동,11040,성동구
MA0106202510A2031322,애플스하우스,,소매,서울특별시 성동구 성수동2가 271-4,서울특별시 성동구 연무장13길 4-1,127.0583982,37.54193514,11040680,성수2가3동,11040,성동구
MA0106202509A0879635,트윙클치어앤댄스,,예술·스포츠,서울특별시 성동구 성수동1가 656-821,서울특별시 성동구 왕십리로14길 22-2,127.0460233,37.5484188,11040660,성수1가2동,11040,성동구
